"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"WHEAT - CHICAGO BOARD OF TRADE" ,091229 ,2009-12-29,001602 ,CBT ,00 ,001 ,  361424,   69686,   95554,   52609,  211713,  167466,  334008,  315629,   27416,   45795,  226073,   59465,   94516,   14149,  134481,   88925,  208095,  197590,   17978,   28483,  135351,   33478,   24295,   15203,   77232,   78541,  125913,  118039,    9438,   17312,    2395,     733,    1805,     758,    -475,    1173,    1016,    3736,    1379,   -1341,  100.0,   19.3,   26.4,   14.6,   58.6,   46.3,   92.4,   87.3,    7.6,   12.7,  100.0,   26.3,   41.8,    6.3,   59.5,   39.3,   92.0,   87.4,    8.0,   12.6,  100.0,   24.7,   17.9,   11.2,   57.1,   58.0,   93.0,   87.2,    7.0,   12.8,    349,     94,    135,     99,     64,     91,    229,    267,    327,     86,    136,     51,     51,     76,    173,    229,    209,     56,     59,     44,     43,     78,    121,    162,    25.6,    19.0,    42.4,    26.8,    23.6,    17.2,    39.7,    24.0,    34.6,    17.9,    49.8,    27.0,    34.6,    17.9,    49.8,    26.8,    39.1,    27.7,    52.8,    38.7,    36.1,    24.3,    45.0,    30.5,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,091222 ,2009-12-22,001602 ,CBT ,00 ,001 ,  359029,   68953,   93749,   51851,  212188,  166293,  332992,  311893,   26037,   47136,  226593,   58180,   92526,   15811,  135834,   88606,  209825,  196943,   16768,   29650,  132436,   31960,   22410,   14853,   76354,   77687,  123167,  114950,    9269,   17486,    3307,   -3633,   14051,    3212,    6904,  -10951,    6483,    6312,   -3176,   -3005,  100.0,   19.2,   26.1,   14.4,   59.1,   46.3,   92.7,   86.9,    7.3,   13.1,  100.0,   25.7,   40.8,    7.0,   59.9,   39.1,   92.6,   86.9,    7.4,   13.1,  100.0,   24.1,   16.9,   11.2,   57.7,   58.7,   93.0,   86.8,    7.0,   13.2,    353,     93,    136,     95,     68,     94,    229,    271,    333,     86,    137,     47,     52,     79,    169,    235,    206,     51,     59,     43,     43,     81,    117,    164,    25.3,    18.8,    42.2,    26.3,    23.4,    16.9,    39.5,    23.6,    34.4,    17.7,    49.2,    26.0,    34.4,    17.7,    49.2,    25.7,    39.4,    28.2,    53.1,    38.8,    36.2,    24.4,    45.1,    30.2,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,091215 ,2009-12-15,001602 ,CBT ,00 ,001 ,  355722,   72586,   79698,   48639,  205284,  177244,  326509,  305581,   29213,   50141,  226567,   61650,   77918,   14140,  132681,  103753,  208471,  195811,   18096,   30756,  129155,   32245,   23089,   13190,   72603,   73491,  118038,  109770,   11117,   19385,   10505,    -588,    5557,    3942,    7138,   -1437,   10492,    8062,      13,    2443,  100.0,   20.4,   22.4,   13.7,   57.7,   49.8,   91.8,   85.9,    8.2,   14.1,  100.0,   27.2,   34.4,    6.2,   58.6,   45.8,   92.0,   86.4,    8.0,   13.6,  100.0,   25.0,   17.9,   10.2,   56.2,   56.9,   91.4,   85.0,    8.6,   15.0,    356,     98,    131,     97,     65,     97,    234,    268,    334,     86,    135,     50,     47,     83,    170,    234,    210,     56,     60,     45,     43,     80,    122,    164,    24.5,    21.7,    41.4,    29.4,    23.2,    19.4,    39.4,    26.1,    34.0,    21.4,    49.6,    29.8,    34.0,    21.4,    49.6,    29.3,    39.1,    29.5,    52.9,    39.4,    37.7,    25.1,    46.0,    30.6,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,091208 ,2009-12-08,001602 ,CBT ,00 ,001 ,  345217,   73174,   74141,   44697,  198146,  178681,  316017,  297519,   29200,   47698,  221284,   62090,   70617,   13804,  127106,  108400,  203000,  192821,   18284,   28463,  123933,   29078,   21518,   12899,   71040,   70281,  113017,  104698,   10916,   19235,   -5758,   -1905,   -2631,    -993,   -2478,   -4592,   -5376,   -8216,    -382,    2458,  100.0,   21.2,   21.5,   12.9,   57.4,   51.8,   91.5,   86.2,    8.5,   13.8,  100.0,   28.1,   31.9,    6.2,   57.4,   49.0,   91.7,   87.1,    8.3,   12.9,  100.0,   23.5,   17.4,   10.4,   57.3,   56.7,   91.2,   84.5,    8.8,   15.5,    346,     95,    134,     87,     62,     94,    226,    254,    321,     87,    130,     45,     45,     81,    164,    224,    196,     51,     54,     39,     40,     79,    112,    153,    25.4,    24.0,    42.3,    32.0,    24.7,    21.3,    41.3,    29.0,    34.5,    24.7,    49.4,    33.7,    34.5,    24.7,    49.4,    33.2,    41.8,    30.3,    55.2,    40.9,    40.1,    25.9,    48.1,    32.6,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,091201 ,2009-12-01,001602 ,CBT ,00 ,001 ,  350975,   75079,   76772,   45690,  200624,  183273,  321393,  305735,   29582,   45240,  229438,   64367,   72581,   14862,  129602,  113840,  208831,  201283,   20607,   28155,  121537,   28212,   21691,   13328,   71022,   69433,  112562,  104452,    8975,   17085,     683,    1699,   -2692,    -161,   -1364,    4680,     174,    1827,     509,   -1144,  100.0,   21.4,   21.9,   13.0,   57.2,   52.2,   91.6,   87.1,    8.4,   12.9,  100.0,   28.1,   31.6,    6.5,   56.5,   49.6,   91.0,   87.7,    9.0,   12.3,  100.0,   23.2,   17.8,   11.0,   58.4,   57.1,   92.6,   85.9,    7.4,   14.1,    357,    101,    132,    101,     64,     99,    244,    264,    334,     89,    134,     55,     50,     81,    182,    229,    199,     51,     53,     43,     40,     79,    115,    156,    25.2,    24.9,    41.8,    32.8,    24.3,    22.1,    40.6,    29.8,    33.8,    26.1,    48.0,    35.0,    33.8,    26.1,    48.0,    34.5,    42.5,    29.7,    55.9,    40.3,    40.8,    26.0,    48.7,    32.9,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,091124 ,2009-11-24,001602 ,CBT ,00 ,001 ,  350292,   73380,   79464,   45851,  201988,  178593,  321219,  303908,   29073,   46384,  234600,   63550,   74757,   17644,  133078,  112689,  214272,  205090,   20328,   29510,  115692,   25722,   20599,   12315,   68910,   65904,  106947,   98818,    8745,   16874,  -27960,     819,  -10170,  -13602,   -6366,    2991,  -19149,  -20781,   -8811,   -7179,  100.0,   20.9,   22.7,   13.1,   57.7,   51.0,   91.7,   86.8,    8.3,   13.2,  100.0,   27.1,   31.9,    7.5,   56.7,   48.0,   91.3,   87.4,    8.7,   12.6,  100.0,   22.2,   17.8,   10.6,   59.6,   57.0,   92.4,   85.4,    7.6,   14.6,    353,     86,    136,    107,     66,     95,    240,    272,    333,     82,    134,     63,     57,     81,    186,    243,    196,     49,     55,     43,     40,     75,    114,    151,    24.9,    23.1,    41.4,    30.8,    23.9,    20.7,    40.0,    27.9,    32.7,    23.3,    46.7,    32.0,    32.7,    23.0,    46.7,    31.3,    44.2,    30.0,    57.7,    40.0,    42.5,    26.4,    49.8,    32.2,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,091117 ,2009-11-17,001602 ,CBT ,00 ,001 ,  378252,   72561,   89634,   59453,  208354,  175602,  340368,  324689,   37884,   53563,  269675,   68125,   87168,   30597,  141327,  113746,  240049,  231511,   29626,   38164,  108577,   21934,   19964,   11358,   67027,   61856,  100319,   93178,    8258,   15399,   27117,    3289,   -3930,    5943,   13109,   19197,   22341,   21210,    4776,    5907,  100.0,   19.2,   23.7,   15.7,   55.1,   46.4,   90.0,   85.8,   10.0,   14.2,  100.0,   25.3,   32.3,   11.3,   52.4,   42.2,   89.0,   85.8,   11.0,   14.2,  100.0,   20.2,   18.4,   10.5,   61.7,   57.0,   92.4,   85.8,    7.6,   14.2,    378,     96,    147,    131,     68,     98,    265,    301,    361,     89,    148,     93,     56,     86,    217,    273,    202,     49,     53,     46,     41,     77,    120,    156,    23.9,    19.5,    38.9,    27.0,    22.6,    17.5,    37.1,    24.0,    29.1,    18.5,    41.6,    26.2,    28.9,    17.9,    41.4,    25.3,    46.4,    29.4,    60.1,    38.8,    44.7,    26.0,    52.1,    32.4,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,091109 ,2009-11-09,001602 ,CBT ,00 ,001 ,  351135,   69272,   93564,   53510,  195245,  156405,  318027,  303479,   33108,   47656,  257640,   65282,   91230,   28127,  140268,  105308,  233677,  224665,   23963,   32975,   93495,   20388,   18732,    8985,   54977,   51097,   84350,   78814,    9145,   14681,   10888,   -1471,     289,    3477,    4109,    1466,    6115,    5232,    4773,    5656,  100.0,   19.7,   26.6,   15.2,   55.6,   44.5,   90.6,   86.4,    9.4,   13.6,  100.0,   25.3,   35.4,   10.9,   54.4,   40.9,   90.7,   87.2,    9.3,   12.8,  100.0,   21.8,   20.0,    9.6,   58.8,   54.7,   90.2,   84.3,    9.8,   15.7,    366,     94,    143,    119,     68,     98,    251,    291,    353,     94,    146,     80,     51,     84,    200,    263,    194,     44,     52,     36,     42,     79,    109,    152,    24.3,    17.7,    40.2,    24.6,    23.8,    15.8,    39.0,    22.1,    30.4,    18.0,    44.4,    25.7,    29.9,    18.0,    43.9,    25.1,    44.2,    26.8,    58.8,    37.0,    41.9,    25.8,    50.4,    32.4,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,091103 ,2009-11-03,001602 ,CBT ,00 ,001 ,  340247,   70743,   93275,   50033,  191136,  154939,  311912,  298247,   28335,   42000,  257584,   67451,   96162,   22890,  146148,  108525,  236489,  227577,   21095,   30007,   82663,   23107,   16928,    7328,   44988,   46414,   75423,   70670,    7240,   11993,    9143,   -5388,   -1501,    9480,    9618,    6454,   13710,   14433,   -4567,   -5290,  100.0,   20.8,   27.4,   14.7,   56.2,   45.5,   91.7,   87.7,    8.3,   12.3,  100.0,   26.2,   37.3,    8.9,   56.7,   42.1,   91.8,   88.4,    8.2,   11.6,  100.0,   28.0,   20.5,    8.9,   54.4,   56.1,   91.2,   85.5,    8.8,   14.5,    362,     95,    146,    114,     67,     98,    248,    284,    354,     91,    153,     72,     51,     85,    194,    262,    191,     52,     43,     32,     42,     76,    111,    140,    25.5,    18.5,    41.2,    25.5,    25.0,    17.0,    40.2,    23.1,    31.0,    19.7,    47.4,    27.3,    31.0,    19.7,    46.8,    26.9,    37.9,    26.7,    53.8,    36.7,    36.0,    26.6,    48.0,    34.0,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,091027 ,2009-10-27,001602 ,CBT ,00 ,001 ,  331104,   76131,   94776,   40553,  181518,  148485,  298202,  283814,   32902,   47290,  255746,   70623,   95961,   17819,  142097,  107152,  230539,  220932,   25207,   34814,   75358,   24466,   17773,    3776,   39421,   41333,   67663,   62882,    7695,   12476,     836,   -4832,   -1868,     514,    2477,    -480,   -1841,   -1834,    2677,    2670,  100.0,   23.0,   28.6,   12.2,   54.8,   44.8,   90.1,   85.7,    9.9,   14.3,  100.0,   27.6,   37.5,    7.0,   55.6,   41.9,   90.1,   86.4,    9.9,   13.6,  100.0,   32.5,   23.6,    5.0,   52.3,   54.8,   89.8,   83.4,   10.2,   16.6,    353,     96,    141,    105,     69,     95,    241,    272,    347,     96,    143,     70,     57,     84,    200,    251,    185,     44,     48,     27,     39,     75,     97,    140,    24.7,    18.5,    39.8,    25.0,    24.2,    17.1,    39.2,    22.8,    30.1,    19.6,    46.2,    27.4,    30.1,    19.6,    46.2,    26.6,    42.6,    23.8,    56.0,    34.1,    40.4,    23.7,    51.1,    31.9,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
